State,District,Year,Season,Crop,Area,Production
Maharashtra,Ahmednagar,2012,Kharif,Maize,45000.0,91900.0
Maharashtra,Ahmednagar,2012,Kharif,Rice,7500.0,4600.0
Maharashtra,Ahmednagar,2012,Kharif,Urad,6100.0,1100.0
Maharashtra,Ahmednagar,2012,Rabi,Maize,14700.0,24800.0
Maharashtra,Ahmednagar,2012,Rabi,Wheat,38900.0,46100.0
Maharashtra,Ahmednagar,2012,Kharif,Maize,200.0,200.0
Maharashtra,Ahmednagar,2012,Whole year,Sugarcane,115500.0,8235700.0
Maharashtra,Ahmednagar,2013,Kharif,Maize,61000.0,296900.0
Maharashtra,Ahmednagar,2013,Kharif,Rice,7900.0,19000.0
Maharashtra,Ahmednagar,2013,Kharif,Urad,6100.0,3000.0
Maharashtra,Ahmednagar,2013,Rabi,Maize,20900.0,59300.0
Maharashtra,Ahmednagar,2013,Rabi,Wheat,51900.0,100700.0
Maharashtra,Ahmednagar,2013,Kharif,Maize,1000.0,1500.0
Maharashtra,Ahmednagar,2013,Whole year,Sugarcane,110800.0,9643600.0
Maharashtra,Ahmednagar,2014,Kharif,Maize,68100.0,176100.0
Maharashtra,Ahmednagar,2014,Kharif,Rice,8600.0,2200.0
Maharashtra,Ahmednagar,2014,Rabi,Maize,29400.0,57600.0
Maharashtra,Ahmednagar,2014,Rabi,Wheat,57200.0,85000.0
Maharashtra,Ahmednagar,2014,Kharif,Maize,200.0,400.0
Maharashtra,Ahmednagar,2014,Whole year,Sugarcane,122000.0,11761000.0
Maharashtra,Akola,2012,Kharif,Maize,500.0,1100.0
Maharashtra,Akola,2012,Kharif,Urad,11800.0,3800.0
Maharashtra,Akola,2012,Rabi,Wheat,19900.0,33900.0
Maharashtra,Akola,2013,Kharif,Maize,100.0,300.0
Maharashtra,Akola,2013,Kharif,Urad,12400.0,2800.0
Maharashtra,Akola,2013,Rabi,Wheat,19900.0,25200.0
Maharashtra,Akola,2014,Kharif,Maize,100.0,200.0
Maharashtra,Akola,2014,Rabi,Wheat,18300.0,25800.0
Maharashtra,Amravati,2012,Kharif,Maize,1200.0,2700.0
Maharashtra,Amravati,2012,Kharif,Rice,3800.0,1500.0
Maharashtra,Amravati,2012,Kharif,Urad,6300.0,2400.0
Maharashtra,Amravati,2012,Rabi,Wheat,36100.0,71500.0
Maharashtra,Amravati,2012,Kharif,Maize,1400.0,1800.0
Maharashtra,Amravati,2012,Whole year,Sugarcane,300.0,16700.0
Maharashtra,Amravati,2013,Kharif,Maize,1000.0,2900.0
Maharashtra,Amravati,2013,Kharif,Rice,4700.0,800.0
Maharashtra,Amravati,2013,Kharif,Urad,4800.0,1300.0
